name,iso_country,municipality,iata_code
Glaser Field,US,Buckholts,
Ainsworth Airport,US,Cleveland,
Hunter STOLport,US,Columbia,
Roscoe Mc Connico Airport,US,Kerens,
Diamond N Ranch Airport,US,Hockley,
Mount Horeb Field,US,Grottoes,
N A Degerstrom Yard Heliport,US,Spokane,
Young Private Airport,US,Frederic,
Western Airpark,US,Yelm,
Campbell Field,US,Aubrey,
Herman Municipal Airport,US,Herman,
Pan Lake Strip Airport,US,Willow,
Tac X Stagefield Army Heliport,US,Fort Rucker/Samson,
Morrilton Airport,US,Morrilton,
John C Lincoln Hospital Heliport,US,Phoenix,
Blue Hill Airport,US,Blue Hill,
West Side Hospital Heliport,US,Taft,
Richvale Airport,US,Richvale,
Comanche Creek Airport,US,Kiowa,
TNT Heliport,US,Salem,
Tackaberry Airport,US,Avoca,
Ocean Reef Club Airport,US,Key Largo,OCA
Flying G Ranch STOLport,US,Lee,
Southwest Florida Regional Medical Center Heliport,US,Fort Myers,
Alcovy Airport,US,Covington,
Lake Monroe Seaplane Base,US,Bloomington,
Interstate Airport,US,Malta,
St Vincent Jennings Hospital Heliport,US,North Vernon,
Gray Airport,US,Boggstown,
Central City Municipal - Larry Reineke Field,US,Central City,
Heape Field,US,Augusta,
Blue Lick Airport,US,Louisville,
Air Oil Inc Nr 1 Heliport,US,Harahan,
LA State Police Troop F Heliport,US,Monroe,
West Pond Heliport,US,Plymouth,
Baugher's Orchard Airport,US,Westminster,
Westbrook Heliport,US,Westbrook,
Scott Airstrip,US,Lake,
Dairyview Airport,US,Hadley,
Lake Sexton Airport,US,Warrensburg,
Glasgow Industrial Airport,US,Glasgow,
Bermudian Valley Airpark,US,Kralltown,
Hawks Meadow Airport,US,Waxhaw,
Diving Rock Seaplane Base,US,Washington,
Hackensack UMC Palisades Heliport,US,North Bergen,
Border Line Farm Airport,US,Baker,
Mmc Heliport,US,Monticello,
Tennessee Gas Heliport,US,Claysville,
Pleasant Valley Airport,US,Snyder,
Bruce's Airport,US,Milwaukie,
Folmar Airport,US,Grassflat,
Churchill Airport,US,Phillipsburg,
Salaika Aviation Airport,US,Danbury,
Cuddihy Field,US,Corpus Christi,
Corntassel Airport,US,Vonore,
Cross-Country Estates Airport,US,Georgetown,
Pecks Heliport,US,Princeton,
E Northrop Grumman Airport,US,Howell,
Alpha Hotel Airport,US,Clover,
Meadow STOLport,US,Jericho,
Multicare Deaconess Hospital Heliport,US,Spokane,
Bartell Strip,US,Genessee Depot,
Allen Ponderosa Heliport,US,Crowley,
Hill City-Quadna Mountain Airport,US,Hill City,
Fisher Airport,US,Big Lake,
Crittenden Regional Hospital Heliport,US,West Memphis,
Mesa Police Heliport,US,Mesa,
Merrymeeting Field,US,Bowdoinham,
Pg & E Co. Placerville Svc Center Heliport,US,Diamond Springs,
Kistler Ranch Airport,US,Jamestown,
Tulare Motor Sports #1 Heliport,US,Tulare,
Terra Firma Airport,US,Rush,
Seavair's Landing Seaplane Base,US,Winsted,
City of Coalgate Airport,US,Coalgate,
Duda Airstrip,US,La Belle,
Sunniland Ranch Airport,US,Okeechobee,
J. H. Hendrie Farms Airport,US,Lake Placid,
Salt Fork Lodge Heliport,US,Cambridge,
Sapelo Island Airport,US,Darien,
Symms Airport,US,Marsing,
Parkview Lagrange Hospital Heliport,US,Lagrange,
Harms Airstrip,US,Tampico,
Winona Lake Seaplane Base,US,Winona Lake,
Hemmer RLA Restricted Landing Area,US,Du Quoin,
Alderson Airport,US,Bennington,
Boss Airport,US,Burnside,
Air Oil Inc Nr 2 Heliport,US,Harahan,
Sauer Airport,US,Dwight,
Aeleron Airport,US,Grand Coteau,
Wormid Airport,US,Southborough,
St Joseph Hospital Heliport,US,Towson,
Lindbergh Airport,US,Avon,
Sparrow Hospital Heliport,US,Lansing,
Christenson Point Seaplane Base,US,Chisholm/Hibbing,
Twin Oaks Airport,US,Jasper,
Williams Field,US,Coldwater,
Clark Airport,US,Grassrange,
Keller Brothers Airport,US,Lebanon,
Whiteheart Farm Airport,US,Lewisville,
Brecht Strip,US,Golden Valley,
Laurel Municipal Airport,US,Laurel,
Memorial Hospital Heliport,US,North Conway,
St Barnabas Medical Center Heliport,US,Livingston,
Md1 Airport,US,Middletown,
Kenley Airport,US,Hartford,
Parks Airport,US,Wilburton,
Broken B Airport,US,Hydro,
Saxon Sycan Airport,US,Silver Lake,
Pocono Raceway Heliport,US,Pocono Pines,
Thomson Heliport,US,Lancaster,
Richmond Airport,US,West Kingston,
Rancho Del Lago Heliport,US,Fischer,
B. J. Mc Combs Sisterdale Airport,US,Comfort,
Puesta Del Sol Airport,US,La Gloria,
Cross Wind Airport,US,Weatherford,
Stevens-Crosby Airport,US,North Fork,
